====== LL 770 ======,,====== Heap 770 ======,,====== STL 770 ======
0.002902,,0.001527,,0.002469
0.00228,,0.001495,,0.002095
0.002046,,0.001394,,0.001988
0.00192,,0.001252,,0.00174
0.001798,,0.001261,,0.001661
0.001788,,0.001116,,0.001689
0.001448,,0.001117,,0.001517
0.001444,,0.001153,,0.0015
0.001444,,0.001046,,0.001631
0.001493,,0.000969,,0.001577
0.001446,,0.00092,,0.001487
0.001745,,0.000973,,0.00149
0.001624,,0.00096,,0.001506
0.001489,,0.000931,,0.001498
0.00144,,0.001114,,0.001481
0.001441,,0.001033,,0.001539
0.001443,,0.000923,,0.001469
0.001442,,0.000937,,0.001471
0.001443,,0.000948,,0.001471
0.001443,,0.000946,,0.001481
0.0015,,0.000945,,0.001485
0.001438,,0.000948,,0.001503
0.001442,,0.000947,,0.001473
0.001442,,0.000943,,0.001536
0.00147,,0.000945,,0.00147
0.001445,,0.000962,,0.001472
0.00158,,0.001068,,0.001525
0.00144,,0.001107,,0.001476
0.001498,,0.001383,,0.001475
0.001442,,0.000962,,0.00158
0.001441,,0.001312,,0.001514
0.001497,,0.000956,,0.001556
0.00153,,0.000984,,0.001524
0.00152,,0.001029,,0.001521
0.00144,,0.001353,,0.001527
0.00144,,0.001311,,0.001484
0.001451,,0.001079,,0.001479
0.001443,,0.000975,,0.001538
0.001486,,0.001003,,0.001475
0.001441,,0.000918,,0.001475
0.00144,,0.000961,,0.001479
0.001439,,0.000917,,0.001475
0.001442,,0.001037,,0.001533
0.001487,,0.000942,,0.001476
0.001484,,0.00092,,0.001497
0.001441,,0.001151,,0.001498
0.001439,,0.001096,,0.00147
0.001442,,0.001011,,0.001478
0.001439,,0.001225,,0.001534
0.001443,,0.001018,,0.001488
0.001442,,0.001003,,0.001476
0.001439,,0.00092,,0.001644
0.001437,,0.00093,,0.001645
0.001461,,0.000986,,0.00158
0.001487,,0.000965,,0.001545
0.001444,,0.000968,,0.001518
0.001472,,0.001354,,0.001502
0.001527,,0.00136,,0.001486
0.001442,,0.001095,,0.001476
0.001435,,0.00095,,0.001521
0.001445,,0.000949,,0.001513
0.001676,,0.00095,,0.001483
0.001439,,0.001036,,0.00149
0.00144,,0.000972,,0.001522
0.001441,,0.001048,,0.001521
0.001496,,0.001173,,0.001481
0.001443,,0.00105,,0.001475
0.001441,,0.001374,,0.001466
0.001434,,0.001023,,0.001467
0.001438,,0.001065,,0.001472
0.001441,,0.001012,,0.001489
0.001441,,0.00101,,0.001476
0.001441,,0.001013,,0.001474
0.001442,,0.001117,,0.001483
0.001441,,0.000987,,0.001535
0.001441,,0.000985,,0.001477
0.001442,,0.000988,,0.001506
0.001527,,0.000984,,0.001479
0.001443,,0.000976,,0.001472
0.001444,,0.000977,,0.00147
0.001441,,0.000977,,0.001466
0.001476,,0.000976,,0.001494
0.001438,,0.000958,,0.001464
0.001442,,0.00096,,0.001475
0.001444,,0.000992,,0.001477
0.001442,,0.000981,,0.001493
0.00144,,0.000981,,0.001485
0.001446,,0.000976,,0.001465
0.001483,,0.000976,,0.001473
0.001438,,0.000998,,0.001476
0.001437,,0.000975,,0.001467
0.001438,,0.000975,,0.001479
0.001443,,0.000978,,0.001479
0.001486,,0.000976,,0.001518
0.001683,,0.000978,,0.001479
0.001663,,0.000983,,0.001479
0.001776,,0.000981,,0.001466
0.001468,,0.001012,,0.00148
0.001437,,0.001003,,0.001468
0.00171,,0.000975,,0.00147
0.001488,,0.000991,,0.001481
0.001441,,0.000946,,0.001502
0.001436,,0.001017,,0.00147
0.001441,,0.000921,,0.001524
0.001439,,0.000919,,0.001475
0.001442,,0.00093,,0.001474
0.001442,,0.000945,,0.001475
0.001443,,0.001284,,0.001471
0.001441,,0.001846,,0.001477
0.001465,,0.00173,,0.001595
0.001526,,0.001423,,0.001468
0.001489,,0.001418,,0.001473
0.001441,,0.001288,,0.001479
0.001441,,0.001248,,0.001512
0.001444,,0.001203,,0.001516
0.001538,,0.001114,,0.001513
0.001443,,0.001102,,0.00147
0.001436,,0.001008,,0.001484
0.001435,,0.001179,,0.001471
0.001499,,0.000987,,0.001468
0.001492,,0.00098,,0.001497
0.001465,,0.00111,,0.001513
0.001487,,0.00142,,0.001473
0.001444,,0.00099,,0.001484
0.001513,,0.00132,,0.001478
0.001451,,0.000968,,0.0015
0.001486,,0.001152,,0.001508
0.001444,,0.00092,,0.001502
0.001441,,0.000919,,0.001472
0.001436,,0.000917,,0.001467
0.001437,,0.000917,,0.001483
0.00148,,0.00092,,0.001483
0.001518,,0.000919,,0.001474
0.001491,,0.00092,,0.001482
0.00144,,0.001196,,0.001475
0.001438,,0.000948,,0.001513
0.001442,,0.000987,,0.001477
0.001519,,0.001045,,0.001504
0.001449,,0.000939,,0.001504
0.001442,,0.0012,,0.00149
0.001438,,0.001195,,0.001466
0.001443,,0.000973,,0.001504
0.001526,,0.000917,,0.001483
0.001438,,0.000918,,0.001467
0.001443,,0.000931,,0.001477
0.001499,,0.001372,,0.001473
0.001442,,0.00113,,0.001466
0.001441,,0.001093,,0.00152
0.001485,,0.001125,,0.001471
0.001436,,0.001018,,0.001572
0.001441,,0.000946,,0.001596
0.001439,,0.000992,,0.001506
0.001439,,0.000967,,0.001469
0.001482,,0.001001,,0.001491
0.00144,,0.000918,,0.001806
0.001439,,0.000918,,0.001741
0.001481,,0.000917,,0.001727
0.001442,,0.00092,,0.001515
0.001438,,0.000929,,0.001521
0.001525,,0.000952,,0.00151
0.00144,,0.000928,,0.001513
0.001447,,0.000931,,0.001525
0.001442,,0.001211,,0.001515
0.001449,,0.001014,,0.001522
0.001505,,0.001251,,0.001534
0.001449,,0.001068,,0.001562
0.001444,,0.000918,,0.001479
0.001437,,0.001003,,0.001438
0.001537,,0.001061,,0.001421
0.00149,,0.001069,,0.001424
0.001488,,0.000918,,0.001498
0.001445,,0.001042,,0.001434
0.001447,,0.000945,,0.001443
0.00145,,0.000946,,0.001487
0.001442,,0.000988,,0.001439
0.00152,,0.000946,,0.001475
0.001445,,0.000946,,0.001426
0.00144,,0.000973,,0.001434
0.001443,,0.000947,,0.001438
0.001495,,0.001075,,0.001456
0.001442,,0.00093,,0.00143
0.001699,,0.000918,,0.001433
0.001643,,0.000917,,0.001489
0.00144,,0.000918,,0.001426
0.001441,,0.000918,,0.00143
0.001549,,0.001128,,0.001433
0.001528,,0.001175,,0.001443
0.001487,,0.001078,,0.001469
0.001488,,0.001108,,0.001425
0.001484,,0.001044,,0.001468
0.001503,,0.000945,,0.001429
0.001521,,0.001072,,0.00144
0.001499,,0.001246,,0.001427
0.00144,,0.001019,,0.001486
0.001441,,0.000914,,0.001425
0.001442,,0.00094,,0.001437
0.001455,,0.001086,,0.001428
0.001471,,0.001031,,0.00144
0.001441,,0.000964,,0.001479
0.00144,,0.001003,,0.001519
0.001439,,0.000943,,0.001429
0.001486,,0.001044,,0.001436
0.001485,,0.001015,,0.001429
0.001531,,0.001135,,0.001432
0.00145,,0.001418,,0.001435
0.001441,,0.001019,,0.001485
0.001438,,0.001423,,0.001486
0.001509,,0.001142,,0.001437
0.001439,,0.001023,,0.001432
0.001441,,0.000941,,0.001485
0.00152,,0.00095,,0.001506
0.001441,,0.001077,,0.001432
0.001445,,0.000953,,0.001422
0.001534,,0.001264,,0.001448
0.001449,,0.000946,,0.00144
0.001494,,0.000964,,0.001429
0.001451,,0.000919,,0.001472
0.001447,,0.00092,,0.001424
0.001482,,0.000966,,0.001433
0.00144,,0.000916,,0.001424
0.001439,,0.000917,,0.001423
0.001438,,0.000917,,0.001419
0.001441,,0.000919,,0.001519
0.001445,,0.000922,,0.001475
0.001544,,0.000963,,0.001437
0.001535,,0.000917,,0.001438
0.001472,,0.000964,,0.001432
0.001447,,0.000917,,0.001428
0.001448,,0.000918,,0.00148
0.00155,,0.000918,,0.001554
0.001439,,0.000919,,0.00145
0.001443,,0.000917,,0.001429
0.001443,,0.000917,,0.001435
0.001442,,0.000917,,0.001428
0.001444,,0.000917,,0.00143
0.001573,,0.001003,,0.001423
0.001436,,0.000922,,0.001433
0.001439,,0.00097,,0.001437
0.001483,,0.000919,,0.001421
0.001436,,0.000917,,0.001506
0.00152,,0.000919,,0.001437
0.001449,,0.00092,,0.001433
0.00144,,0.000964,,0.001424
0.00144,,0.000971,,0.001431
0.001442,,0.00092,,0.00143
0.001439,,0.000923,,0.001437
0.001493,,0.00092,,0.001425
0.001493,,0.000918,,0.00143
0.001441,,0.000918,,0.001424
0.001515,,0.000919,,0.001438
0.001441,,0.00092,,0.001431
0.001509,,0.000917,,0.001475
0.001439,,0.000968,,0.001428
0.001442,,0.000952,,0.001427
0.001437,,0.001008,,0.001437
0.001442,,0.000948,,0.001442
0.00144,,0.000977,,0.001491
0.001504,,0.000964,,0.001471
0.001489,,0.000945,,0.001426
0.001443,,0.000965,,0.00144
0.001438,,0.001025,,0.001429
0.001508,,0.000974,,0.001428
0.001499,,0.001002,,0.001477
0.001439,,0.001109,,0.001442
0.001441,,0.001015,,0.001426
0.001441,,0.001013,,0.001429
0.001437,,0.000969,,0.001441
0.001462,,0.00092,,0.001434
0.00146,,0.00097,,0.00144
0.001438,,0.000918,,0.001432
0.001493,,0.000977,,0.001433
0.001438,,0.00092,,0.001464
0.001447,,0.00098,,0.001479
0.001509,,0.000978,,0.001437
0.001447,,0.000969,,0.0015
0.001444,,0.000944,,0.001435
0.001441,,0.000993,,0.001427
0.001442,,0.00092,,0.001425
0.001491,,0.000918,,0.001434
0.001451,,0.000919,,0.001424
0.001442,,0.000919,,0.00143
0.0015,,0.000924,,0.001426
0.001441,,0.00092,,0.001426
0.001441,,0.000966,,0.001423
0.001514,,0.000985,,0.001432
0.001438,,0.001027,,0.001457
0.001441,,0.000953,,0.001532
0.001443,,0.001145,,0.001427
0.001436,,0.000958,,0.001439
0.001514,,0.000965,,0.001475
0.001443,,0.000947,,0.001432
0.001441,,0.001094,,0.001431
0.001488,,0.00095,,0.001548
0.001444,,0.000947,,0.001439
0.00144,,0.001099,,0.001424
0.001495,,0.000953,,0.001436
0.001444,,0.000992,,0.001424
0.001437,,0.000947,,0.001598
0.001445,,0.001005,,0.001447
0.00144,,0.001065,,0.001438
0.001489,,0.001107,,0.001447
0.001443,,0.001034,,0.001585
0.001442,,0.00098,,0.001502
0.00144,,0.000979,,0.00148
0.001487,,0.000996,,0.001476
0.001443,,0.000977,,0.001516
0.001568,,0.000977,,0.001431
0.001502,,0.000975,,0.001428
0.001441,,0.00098,,0.001516
0.001443,,0.001014,,0.00147
0.001443,,0.000999,,0.001439
0.001541,,0.000989,,0.00143
0.00145,,0.000976,,0.001434
0.001441,,0.000976,,0.001439
0.001443,,0.000975,,0.001431
0.001491,,0.000974,,0.001452
0.001438,,0.000976,,0.001439
0.001507,,0.000974,,0.00143
0.00144,,0.000978,,0.001432
0.00148,,0.000982,,0.001431
0.001454,,0.001077,,0.001484
0.001444,,0.001005,,0.001431
0.001511,,0.000946,,0.001489
0.001442,,0.000947,,0.00144
0.001586,,0.000945,,0.001434
0.001553,,0.000946,,0.001433
0.001496,,0.000971,,0.001433
0.001469,,0.000947,,0.001517
0.001446,,0.000969,,0.001469
0.001442,,0.000948,,0.001431
0.001438,,0.000987,,0.001435
0.001442,,0.001001,,0.001489
0.001437,,0.001053,,0.001437
0.001506,,0.001041,,0.001437
0.00144,,0.000967,,0.001428
0.001438,,0.00099,,0.001441
0.001441,,0.001022,,0.001434
0.001441,,0.000945,,0.001424
0.001562,,0.001142,,0.00148
0.001443,,0.001244,,0.001426
0.001465,,0.001204,,0.001426
0.001436,,0.000949,,0.001504
0.001489,,0.000947,,0.001428
0.001439,,0.000945,,0.001478
0.001477,,0.000946,,0.001479
0.001439,,0.001209,,0.001432
0.001437,,0.001059,,0.001428
0.001441,,0.001248,,0.001435
0.001444,,0.001249,,0.001434
0.00153,,0.001246,,0.001429
0.001438,,0.001214,,0.001448
0.00144,,0.000944,,0.001435
0.001441,,0.000943,,0.001426
0.00144,,0.000988,,0.001446
0.001444,,0.00093,,0.001482
0.001574,,0.000982,,0.001477
0.00144,,0.001036,,0.001444
0.001444,,0.001315,,0.001426
0.001438,,0.000945,,0.001431
0.001464,,0.00112,,0.001557
0.001543,,0.00142,,0.00149
0.001439,,0.001419,,0.001486
0.001443,,0.001231,,0.001475
0.001441,,0.001233,,0.001501
0.001441,,0.001052,,0.001471
0.001444,,0.000919,,0.001518
0.001485,,0.000917,,0.001878
0.001434,,0.000917,,0.001862
0.001478,,0.000941,,0.001646
0.001443,,0.000943,,0.001524
0.001441,,0.000971,,0.001535
0.00152,,0.000941,,0.001533
0.001463,,0.000952,,0.001526
0.001632,,0.000973,,0.00153
0.001438,,0.000919,,0.001525
0.001584,,0.000921,,0.001528
0.001485,,0.000918,,0.001521
0.001517,,0.000918,,0.001483
0.001442,,0.000918,,0.001521
0.001443,,0.000919,,0.001663
0.001437,,0.000921,,0.001824
0.001443,,0.000974,,0.00161
0.001511,,0.000918,,0.001524
0.001491,,0.000919,,0.001514
0.001444,,0.000935,,0.001521
0.001442,,0.000979,,0.001526
0.001438,,0.000945,,0.001535
0.00145,,0.000991,,0.001836
0.001522,,0.000947,,0.00152
0.001441,,0.000945,,0.00153
0.00144,,0.00099,,0.001573
0.001487,,0.001009,,0.00171
0.001443,,0.001016,,0.001586
0.001493,,0.000921,,0.001503
0.001442,,0.000919,,0.001473
0.001484,,0.00092,,0.001471
0.00144,,0.00092,,0.001471
0.001434,,0.000919,,0.001506
0.001476,,0.000961,,0.001636
0.001448,,0.000933,,0.001478
0.001438,,0.00092,,0.001479
0.001485,,0.000918,,0.001551
0.001438,,0.000966,,0.001476
0.001445,,0.000953,,0.001476
0.0015,,0.000965,,0.00147
0.001446,,0.00092,,0.001539
0.001533,,0.000972,,0.001476
0.001895,,0.001089,,0.001472
0.001644,,0.001096,,0.001526
0.001548,,0.001084,,0.001511
0.001496,,0.000921,,0.001467
0.001488,,0.00092,,0.001498
0.001505,,0.001042,,0.001553
0.001484,,0.001007,,0.001479
0.001809,,0.000967,,0.001513
0.001601,,0.000982,,0.001481
0.001678,,0.001099,,0.001485
0.001601,,0.001423,,0.001501
0.00148,,0.001418,,0.001476
0.001551,,0.001382,,0.001501
0.001491,,0.001098,,0.001542
0.001514,,0.000952,,0.001504
0.001485,,0.000916,,0.001479
0.001498,,0.001038,,0.001516
0.001532,,0.000966,,0.001472
0.001484,,0.000951,,0.001513
0.001483,,0.000918,,0.001491
0.0015,,0.000955,,0.001471
0.001484,,0.000938,,0.00148
0.001482,,0.000972,,0.001479
0.001486,,0.000945,,0.001539
0.001442,,0.000969,,0.001556
0.001443,,0.000918,,0.001544
0.001439,,0.00092,,0.001547
0.00144,,0.00092,,0.001524
0.001515,,0.000918,,0.001528
0.001436,,0.000917,,0.002175
0.001439,,0.000988,,0.001856
0.00144,,0.000918,,0.002228
0.001555,,0.000919,,0.00215
0.00144,,0.00092,,0.001947
0.001488,,0.001112,,0.001848
0.001505,,0.000961,,0.001728
0.001485,,0.00115,,0.001558
0.001517,,0.001245,,0.001512
0.001439,,0.000918,,0.001485
0.001483,,0.000917,,0.001496
0.001439,,0.000916,,0.001508
0.001443,,0.000941,,0.001479
0.001446,,0.001169,,0.001506
0.001491,,0.000959,,0.001554
0.001441,,0.000916,,0.001631
0.001526,,0.001034,,0.001625
0.001444,,0.000968,,0.00166
0.001444,,0.000964,,0.001652
0.001443,,0.000921,,0.001444
0.001441,,0.000919,,0.001437
0.001526,,0.000952,,0.001475
0.001442,,0.000931,,0.00149
0.001442,,0.000922,,0.001425
0.001445,,0.000919,,0.001472
0.001495,,0.000918,,0.001476
0.001456,,0.000966,,0.001485
0.001479,,0.000916,,0.001505
0.001438,,0.000977,,0.001477
0.001443,,0.000969,,0.001545
0.00144,,0.000948,,0.001442
0.001443,,0.000999,,0.001442
0.001527,,0.000948,,0.001435
0.001441,,0.000963,,0.001445
0.001443,,0.001002,,0.001439
0.001448,,0.00095,,0.0015
0.001442,,0.001432,,0.001472
0.001545,,0.001198,,0.001428
0.001444,,0.001011,,0.001428
0.001443,,0.001018,,0.001426
0.001503,,0.000938,,0.00151
0.001439,,0.00092,,0.001446
0.001439,,0.000981,,0.001439
0.001438,,0.000972,,0.001498
0.001442,,0.000918,,0.001448
0.001443,,0.000917,,0.001437
0.001487,,0.000918,,0.001438
0.001439,,0.000919,,0.001437
0.001529,,0.000919,,0.001477
0.001507,,0.000919,,0.001435
0.001471,,0.000917,,0.001443
0.001437,,0.000919,,0.001437
0.00146,,0.001041,,0.001429
0.001487,,0.000919,,0.001472
0.001445,,0.000921,,0.001491
0.001443,,0.000919,,0.00143
0.001443,,0.000921,,0.00143
0.001484,,0.000919,,0.001487
0.001435,,0.000918,,0.001442
0.001444,,0.000979,,0.001503
0.001487,,0.000928,,0.001446
0.00144,,0.000921,,0.001496
0.001483,,0.00092,,0.001442
0.00144,,0.00092,,0.001449
,,,,
0.00147871,,0.00101142,,0.001496062
9.85937E-05,,0.000128729,,0.000105149